Product_Name,Product_Link,Product_Price
"Google Pixel 8 Pro (Obsidian, 128 GB)",https://www.flipkart.com/google-pixel-8-pro-obsidian-128-gb/p/itm51f9522df8e95?pid=MOBGT5F2S5RHTV6A&lid=LSTMOBGT5F2S5RHTV6AAFYXXO&marketplace=FLIPKART&q=google+pixel+8&store=tyy%2F4io&srno=s_1_11&otracker=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&iid=0c8525a2-c98c-4353-ae5e-0301ac3029e2.MOBGT5F2S5RHTV6A.SEARCH&ssid=zj6tbnwnvk0000001729618782857&qH=cb4644edceff5a2b,"₹84,999
₹1,06,99920% off"
"Google Pixel 8 Pro (Bay, 128 GB)",https://www.flipkart.com/google-pixel-8-pro-bay-128-gb/p/itm51f9522df8e95?pid=MOBGT5F2YUW93AB3&lid=LSTMOBGT5F2YUW93AB3QQXNVI&marketplace=FLIPKART&q=google+pixel+8&store=tyy%2F4io&srno=s_1_12&otracker=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&iid=0c8525a2-c98c-4353-ae5e-0301ac3029e2.MOBGT5F2YUW93AB3.SEARCH&ssid=zj6tbnwnvk0000001729618782857&qH=cb4644edceff5a2b,"₹84,999
₹1,06,99920% off"
"Google Pixel 8a (Aloe, 128 GB)",https://www.flipkart.com/google-pixel-8a-aloe-128-gb/p/itm9f646ddfbe8f4?pid=MOBGYQ2MKT3SVFCS&lid=LSTMOBGYQ2MKT3SVFCSMCUIQC&marketplace=FLIPKART&q=google+pixel+8&store=tyy%2F4io&srno=s_1_13&otracker=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&iid=0c8525a2-c98c-4353-ae5e-0301ac3029e2.MOBGYQ2MKT3SVFCS.SEARCH&ssid=zj6tbnwnvk0000001729618782857&qH=cb4644edceff5a2b,"₹43,999
₹52,99916% off"
"Google Pixel 7a (Snow, 128 GB)",https://www.flipkart.com/google-pixel-7a-snow-128-gb/p/itmb4d7b100b1a4d?pid=MOBGZCQMZXYXCZCH&lid=LSTMOBGZCQMZXYXCZCHTTFGG3&marketplace=FLIPKART&q=google+pixel+8&store=tyy%2F4io&srno=s_1_14&otracker=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&iid=0c8525a2-c98c-4353-ae5e-0301ac3029e2.MOBGZCQMZXYXCZCH.SEARCH&ssid=zj6tbnwnvk0000001729618782857&qH=cb4644edceff5a2b,"₹29,999
₹43,99931% off"
"Google Pixel 9 (Obsidian, 256 GB)",https://www.flipkart.com/google-pixel-9-obsidian-256-gb/p/itm330ed8ebeefe1?pid=MOBH2HJGP3FGTECW&lid=LSTMOBH2HJGP3FGTECWIRLKP1&marketplace=FLIPKART&q=google+pixel+8&store=tyy%2F4io&srno=s_1_15&otracker=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&iid=0c8525a2-c98c-4353-ae5e-0301ac3029e2.MOBH2HJGP3FGTECW.SEARCH&ssid=zj6tbnwnvk0000001729618782857&qH=cb4644edceff5a2b,"₹79,999"
"Google Pixel 9 (Porcelain, 256 GB)",https://www.flipkart.com/google-pixel-9-porcelain-256-gb/p/itm5364256d5efe2?pid=MOBH2HJG3HNTSRYT&lid=LSTMOBH2HJG3HNTSRYTUHOV85&marketplace=FLIPKART&q=google+pixel+8&store=tyy%2F4io&srno=s_1_16&otracker=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&iid=0c8525a2-c98c-4353-ae5e-0301ac3029e2.MOBH2HJG3HNTSRYT.SEARCH&ssid=zj6tbnwnvk0000001729618782857&qH=cb4644edceff5a2b,"₹79,999"
"Google Pixel 7a (Charcoal, 128 GB)",https://www.flipkart.com/google-pixel-7a-charcoal-128-gb/p/itmb4d7b100b1a4d?pid=MOBGZCQMHGWDYZQ7&lid=LSTMOBGZCQMHGWDYZQ7XLJASQ&marketplace=FLIPKART&q=google+pixel+8&store=tyy%2F4io&srno=s_1_17&otracker=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&iid=0c8525a2-c98c-4353-ae5e-0301ac3029e2.MOBGZCQMHGWDYZQ7.SEARCH&ssid=zj6tbnwnvk0000001729618782857&qH=cb4644edceff5a2b,"₹29,999
₹43,99931% off"
"Google Pixel 9 (Wintergreen, 256 GB)",https://www.flipkart.com/google-pixel-9-wintergreen-256-gb/p/itmcead5185c21a8?pid=MOBH2HJG6KBBMPRF&lid=LSTMOBH2HJG6KBBMPRFC8AYRM&marketplace=FLIPKART&q=google+pixel+8&store=tyy%2F4io&srno=s_1_18&otracker=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&iid=0c8525a2-c98c-4353-ae5e-0301ac3029e2.MOBH2HJG6KBBMPRF.SEARCH&ssid=zj6tbnwnvk0000001729618782857&qH=cb4644edceff5a2b,"₹79,999"
"Google Pixel 9 Pro (Obsidian, 256 GB)",https://www.flipkart.com/google-pixel-9-pro-obsidian-256-gb/p/itm20409981866f4?pid=MOBH2HJGHBFE2GZR&lid=LSTMOBH2HJGHBFE2GZRHGV4QM&marketplace=FLIPKART&q=google+pixel+8&store=tyy%2F4io&srno=s_1_19&otracker=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&iid=0c8525a2-c98c-4353-ae5e-0301ac3029e2.MOBH2HJGHBFE2GZR.SEARCH&ssid=zj6tbnwnvk0000001729618782857&qH=cb4644edceff5a2b,"₹1,09,999"
"Google Pixel 9 (Peony, 256 GB)",https://www.flipkart.com/google-pixel-9-peony-256-gb/p/itmdfee129571238?pid=MOBH2HJGNG6PVUYH&lid=LSTMOBH2HJGNG6PVUYHXGA7EB&marketplace=FLIPKART&q=google+pixel+8&store=tyy%2F4io&srno=s_1_20&otracker=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&iid=0c8525a2-c98c-4353-ae5e-0301ac3029e2.MOBH2HJGNG6PVUYH.SEARCH&ssid=zj6tbnwnvk0000001729618782857&qH=cb4644edceff5a2b,"₹79,999"
